City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
120,victoria,22.2855,114.1577,293.36,84,5,5.36,HK,1675266384
121,natitingou,10.3042,1.3796,309.47,8,92,2.77,BJ,1675266385
122,koumac,-20.5667,164.2833,297.6,70,60,1.68,NC,1675266386
123,takoradi,4.8845,-1.7554,301.86,69,9,4.56,GH,1675266386
124,kindu,-2.95,25.95,299.67,70,75,0.87,CD,1675266387
125,kavaratti,10.5669,72.642,300.01,77,75,6.49,IN,1675266133
126,waiuku,-37.25,174.75,293.96,95,100,2.33,NZ,1675266388
127,port macquarie,-31.4333,152.9167,294.2,93,33,1.69,AU,1675266389
128,thompson,55.7435,-97.8558,236.24,74,75,2.57,CA,1675266350
129,eucaliptus,-17.5833,-67.5167,289.55,30,81,5.08,BO,1675266389
130,hudson bay,52.85,-102.3842,249.26,92,98,2.52,CA,1675266390
131,hilo,19.7297,-155.09,297.75,93,0,0.89,US,1675266390
132,opotiki,-38.0833,177.2833,294.48,98,100,4.87,NZ,1675266391
133,bulgan,48.8125,103.5347,253.32,92,8,1.65,MN,1675266391
134,divnomorskoye,44.5011,38.1353,279.19,80,100,3.12,RU,1675266392
135,kokopo,-4.352,152.2633,298.93,81,100,1.2,PG,1675266392
136,petropavlovsk-kamchatskiy,53.0452,158.6483,256.48,66,0,5.0,RU,1675266393
137,sitka,57.0531,-135.33,278.09,87,100,2.57,US,1675266393
138,ipanema,-30.1391,-51.2244,305.14,66,75,1.54,BR,1675266394
139,pundaguitan,6.3711,126.1689,300.09,81,98,6.6,PH,1675266394
140,georgetown,5.4112,100.3354,299.11,100,20,1.54,MY,1675266198
141,luderitz,-26.6481,15.1594,295.35,60,0,13.27,NA,1675266395
142,karratha,-20.7377,116.8463,303.43,64,68,5.84,AU,1675266396
143,hobart,-42.8794,147.3294,283.74,75,75,2.57,AU,1675266306
144,matara,5.9485,80.5353,297.43,78,54,3.92,LK,1675266396
145,kwidzyn,53.7249,18.9311,277.17,85,100,5.38,PL,1675266397
146,klaksvik,62.2266,-6.589,275.66,63,86,5.63,FO,1675266132
147,sinaloa,25.0,-107.5,290.99,87,100,0.45,MX,1675266397
148,yumen,40.2833,97.2,267.38,39,99,3.1,CN,1675266398
149,mayor pablo lagerenza,-19.9309,-60.7718,304.92,56,83,2.37,PY,1675266399
150,kloulklubed,7.0419,134.2556,298.43,78,34,9.45,PW,1675266399
151,vestmannaeyjar,63.4427,-20.2734,275.7,75,40,5.14,IS,1675266344
152,isangel,-19.55,169.2667,298.96,84,5,1.4,VU,1675266400
153,maraba,-5.3686,-49.1178,299.25,94,100,1.03,BR,1675266400
154,cape town,-33.9258,18.4232,298.77,60,20,8.75,ZA,1675266198
155,saskylakh,71.9167,114.0833,250.22,98,100,8.07,RU,1675266251
156,talnakh,69.4865,88.3972,259.38,95,100,6.61,RU,1675266401
157,chuy,-33.6971,-53.4616,299.85,61,58,5.4,UY,1675266401
158,boddam,57.4667,-1.7833,280.36,66,26,11.69,GB,1675266402
159,bengkulu,-3.8004,102.2655,298.0,89,100,2.03,ID,1675266404
160,poim,53.0264,43.1872,269.79,96,98,4.25,RU,1675266404
161,voyvozh,62.892,54.9635,268.56,92,99,4.6,RU,1675266405
162,husavik,66.0449,-17.3389,268.69,89,100,3.74,IS,1675266405
163,medvedka,61.1629,46.387,270.49,90,99,3.81,RU,1675266405
164,fare,-16.7,-151.0167,300.87,72,56,8.4,PF,1675266406
165,washington,47.5001,-120.5015,265.88,83,49,0.72,US,1675266170
166,port lavaca,28.615,-96.6261,277.18,91,100,8.23,US,1675266407
167,wesley,15.5667,-61.3167,299.25,83,40,1.03,DM,1675266407
168,haines junction,60.7522,-137.5108,253.63,100,99,0.55,CA,1675266408
169,srivardhan,18.0333,73.0167,297.8,62,83,3.53,IN,1675266408
170,tignere,7.3667,12.65,304.84,11,5,3.54,CM,1675266409
171,santa cruz,-17.8,-63.1667,304.18,62,40,4.12,BO,1675266150
172,shitanjing,39.2342,106.3439,266.28,24,100,1.66,CN,1675266409
173,yerbogachen,61.2767,108.0108,254.62,98,100,2.14,RU,1675266410
174,dikson,73.5069,80.5464,258.53,85,100,4.88,RU,1675266410
175,ballina,-28.8667,153.5667,296.92,99,93,1.79,AU,1675266411
176,hasaki,35.7333,140.8333,280.37,53,27,6.16,JP,1675266412
177,boksitogorsk,59.474,33.8485,271.26,91,100,2.58,RU,1675266412
178,kaspiysk,42.8816,47.6392,278.28,93,100,1.0,RU,1675266187
179,la asuncion,11.0333,-63.8628,299.21,67,0,4.24,VE,1675266413
180,piuma,-20.8378,-40.7219,301.91,70,42,4.15,BR,1675266413
181,mount gambier,-37.8333,140.7667,285.99,65,100,3.95,AU,1675266414
182,caravelas,-17.7125,-39.2481,303.5,51,96,4.34,BR,1675266206
183,pisco,-13.7,-76.2167,298.18,69,20,1.54,PE,1675266378
184,makakilo city,21.3469,-158.0858,293.33,91,0,1.54,US,1675266414
185,vao,-22.6667,167.4833,298.94,79,39,3.46,NC,1675266415
186,houston,29.7633,-95.3633,277.64,89,75,5.66,US,1675266293
187,colares,38.7992,-9.4469,288.96,65,0,5.81,PT,1675266416
188,pantai remis,4.4557,100.6288,298.16,91,97,1.81,MY,1675266416
189,port hedland,-20.3167,118.5667,303.05,70,9,6.48,AU,1675266239
190,marau,-28.4492,-52.2,302.12,28,11,2.39,BR,1675266417
191,the valley,18.217,-63.0578,300.23,69,40,4.63,AI,1675266286
192,clyde river,70.4692,-68.5914,238.28,68,20,4.12,CA,1675266417
193,tshikapa,-6.4167,20.8,299.89,70,50,1.44,CD,1675266418
194,pevek,69.7008,170.3133,254.87,95,95,0.13,RU,1675266418
195,bowen,-20.0167,148.2333,299.94,89,100,3.05,AU,1675266419
196,dong hoi,17.4833,106.6,292.74,94,99,1.59,VN,1675266419
197,mana,5.6592,-53.7767,300.47,70,26,3.3,GF,1675266420
198,oktyabrskiy,54.4815,53.471,255.04,94,70,1.72,RU,1675266420
199,lebu,-37.6167,-73.65,290.03,68,2,8.69,CL,1675266421
200,padilla,3.2204,-76.3139,298.91,64,74,1.85,CO,1675266421
201,ust-nera,64.5667,143.2,247.25,98,99,1.02,RU,1675266422
202,farah,32.5,62.5,285.6,40,100,2.69,AF,1675266422
203,kruisfontein,-34.0033,24.7314,299.75,77,11,9.48,ZA,1675266362
204,basco,20.4487,121.9702,297.42,75,80,5.46,PH,1675266423
205,cabo san lucas,22.8909,-109.9124,293.43,86,75,0.45,MX,1675266424
206,grand gaube,-20.0064,57.6608,300.37,76,78,0.45,MU,1675266425
207,lagunillas,10.1301,-71.2595,301.3,50,5,2.92,VE,1675266425
208,imeni poliny osipenko,52.4201,136.4853,238.6,100,52,0.74,RU,1675266233
209,natchitoches,31.7668,-93.1335,275.62,100,100,2.06,US,1675266427
